internal_id,name,bga_player_id,current_country,bga_country,status
17345,Delen AK,89216505,BE,BE,ok
17404,Theotimus,87287744,BE,BE,ok
17414,micj,89305689,BE,BE,ok
17423,HenryDonnet,86852268,BE,BE,ok
17479,Tom_dvs,85836894,BE,BE,ok
17482,Lulukhan Gazi,89043413,BE,BE,ok
17487,nelepraet,86596800,BE,BE,ok
17491,Passief,85758747,BE,BE,ok
17498,solange1412,86560095,BE,BE,ok
17504,AmandineJan,86822646,BE,BE,ok
17558,callesieg,86702056,BE,BE,ok
17572,kate4950,89103200,BE,BE,ok
17576,Anneliezewieze,89282709,BE,BE,ok
17592,slede M,89047407,BE,BE,ok
17600,The Bad One,88265556,BE,BE,ok
17636,GregDIg,86190033,BE,BE,ok
17648,Gregorysch,92686658,BE,BE,ok
17686,ArtemisBrush,93344776,BE,BE,ok
17707,Chang Tzu s mind,91438770,BE,BE,ok
17722,kaylee99,86281848,BE,BE,ok
17776,LindeSch,85620593,BE,BE,ok
17784,wijnsaus,93643120,BE,BE,ok
17803,pineappleklara,85752050,BE,BE,ok
17818,JB105,86304250,BE,BE,ok
17873,Baradic,84170034,BE,BE,ok
17942,Jerre_krc,86640779,BE,BE,ok
17982,Marielle84,85612403,BE,BE,ok
18030,frannekec,88052586,BE,BE,ok
18071,CoughCoughCough,86547962,BE,BE,ok
18118,IrisdV,85532987,BE,BE,ok
18173,Lady in Green,84816891,BE,BE,ok
18234,LenaSun,85178167,BE,BE,ok
18239,Hdp,6012502,BE,BE,ok
18393,theFoX,85075062,BE,BE,ok
18401,kl1172,84531381,BE,BE,ok
18450,RickyH2,91255788,BE,BE,ok
18455,Quinten_,85707486,BE,BE,ok
18560,Silvervyll,84891905,BE,BE,ok
18745,DikkeLu,84843113,BE,BE,ok
18789,moii789,93754017,BE,BE,ok
18849,cessna150,87366490,BE,BE,ok
18955,Toekan Bru,93218202,BE,BE,ok
18968,Momoraptou,92626561,BE,BE,ok
18970,Florian90,85167703,BE,BE,ok
18998,-Peachy-,95668760,BE,BE,ok
19026,fedefededede,94933581,BE,BE,ok
19036,gus von sand,86626258,BE,BE,ok
19075,Nnessie,88245250,BE,BE,ok
19200,Michellekeee,91771440,BE,BE,ok
19239,Maiamoto,87871671,BE,BE,ok
19306,Stekene,84007822,BE,BE,ok
19348,HVB000,84692231,BE,BE,ok
19396,HEY X 6 9,87885182,BE,BE,ok
19452,Ju Exta,85710558,BE,BE,ok
19557,Cato J,85565364,BE,BE,ok
19635,Agowie,87838707,BE,BE,ok
19656,bertdebouwer,86064344,BE,BE,ok
19697,BobbjeRocks,86013982,BE,BE,ok
19713,Dan_igrok,85310639,BE,BE,ok
19715,ElSee,85378957,BE,BE,ok
19910,ShoDaN,84390732,BE,BE,ok
19922,p1n0-g10,83866380,BE,,not_found
19930,DorienDF,84685145,BE,BE,ok
20009,bristolking,96951025,BE,BE,ok
20053,Captain Cigare,86994771,BE,BE,ok
20055,Lordcir,24551245,BE,BE,ok
20075,seuzeken,85949327,BE,BE,ok
20082,OliRaynor,87237821,BE,BE,ok
20092,Lisaaatjeee 68463737,97153907,BE,BE,ok
20119,Adelin0909,96824496,BE,BE,ok
20126,Jeanneke,84473538,BE,BE,ok
20136,Baron von Pede,85683266,BE,BE,ok
20143,Xyla7,84184553,BE,BE,ok
20172,Laulau_Laulau,86009463,BE,BE,ok
20173,taichikawe,85860210,BE,BE,ok
20198,gvermaelen20,85909012,BE,BE,ok
20216,Phacocheh,86621467,BE,BE,ok
20219,tch0uxx,85867075,BE,BE,ok
20255,autocar nanar,85868540,BE,BE,ok
20256,Chaperon Roose,85838253,BE,BE,ok
20271,barcaboy,87745928,BE,BE,ok
20287,Kayaman,85268626,BE,BE,ok
20290,DLynch,85697802,BE,BE,ok
20312,seven7wonder,86129649,BE,BE,ok
20314,JackieTheEnlister,85903806,BE,BE,ok
20319,sdhollan,88566881,BE,BE,ok
20340,saphir24,86311776,BE,BE,ok
20369,zaptain,84881293,BE,BE,ok
20380,swaans,85571664,BE,BE,ok
20474,Pat1307,84992192,BE,BE,ok
20513,juliemoustier,97644014,BE,BE,ok
20567,Tita tovenaar,98301866,BE,BE,ok
20602,Reardrop,85837900,BE,BE,ok
20708,Drag3kill,96561880,BE,BE,ok
20718,tombe,87634746,BE,BE,ok
20764,LouMat,88676769,BE,BE,ok
20766,BadBoy69,85802647,BE,BE,ok
20780,witeken,87170586,BE,BE,ok
20788,Zors Cross,89599834,BE,BE,ok
20841,Aster83,85817658,BE,BE,ok
20853,Girdl,93758729,BE,BE,ok
20916,Trerrie,88530901,BE,BE,ok
20959,Pieter dm,84875735,BE,BE,ok
20966,stebie,84867099,BE,BE,ok
20973,prue blue,91734088,BE,BE,ok
